Date,AAPL,MSFT,GOOG,NVDA,ORCL,INTC,AMD,AMZN,CSCO,ADBE,QCOM,IBM,Tech,Total Portfolio
2005-01-27,22721.303086944296,19456.03739900901,19339.846262357714,20391.663183288823,21393.56306409502,19734.63250948783,15952.500316161217,20080.682110200072,19590.520631805077,18704.627660226633,17156.41780127342,19023.779084633083,233545.5731094822,233545.5731094822
2005-01-28,23140.42827543616,19508.205435501975,19572.237139781977,20364.966459633808,20949.463358753143,19672.72004450715,15546.759772212921,20037.96818498293,19288.79334006994,18474.857287662926,17256.10657735056,19211.98970675511,233024.49558264858,233024.49558264858
2005-01-31,24053.793889986275,19582.709589951526,20115.16967374021,20400.536020154635,21087.287468665156,19858.469114988293,15635.82474664633,20512.5761550429,19439.65458172321,18947.71842266204,17678.608145719645,19321.609167900144,236633.95697718035,236633.95697718035
2005-02-01,24250.84931886334,19664.684676413835,19732.651687850088,20783.230772840598,20903.519536287076,20017.695738953622,16100.94131104035,20161.366483509457,19536.646997789485,19280.71927564218,17483.97580322225,19412.612587252916,237328.89418966518,237328.89418966518
2005-02-02,24907.71652617437,19716.83613386211,21178.40833250832,21940.401650121705,20765.693587003516,19973.462959060304,16486.888275232024,19876.60170147347,19558.188757909964,20742.590136088667,17275.09908213588,19503.617570453287,241925.5047120236,241925.5047120236
2005-02-03,24338.43310790292,19508.205435501975,21682.2644839156,21708.946617850128,20428.78693722473,19866.939718607828,16496.78459322792,16967.251337186426,18879.307560636888,21118.879715062576,17142.1792557633,19346.432120804096,237484.4108836844,237484.4108836844
2005-02-04,24660.605032412015,19612.522857062628,21013.88278058371,22955.083979097995,20918.834143775766,20417.31879417367,17308.263793594855,16953.012984929162,19288.79334006994,21308.691459100435,17540.946026229605,19547.036235130738,241524.9914261605,241524.9914261605
2005-02-07,24691.89225278201,19493.292584804665,20157.326330195236,22679.090955702726,20750.38081888637,20337.431836743268,17041.068870294625,16938.7746326719,19568.96124077974,21152.180689741832,17080.460906559616,19551.177303567056,239442.03842272906,239442.03842272906
2005-02-08,25304.97379362094,19552.90875712394,20425.707358289776,22901.68357951617,20627.88051332077,20781.280374644695,17456.704788473988,17228.28628649674,19655.173159928574,21212.119903075232,17203.881564000105,19505.59114612044,241856.19122461136,241856.19122461136
2005-02-09,24629.325285699237,19426.226204278493,19699.743797076084,22100.613277274846,20168.457003632484,20683.624706141272,17753.58866576191,17033.696226683893,18997.843339633175,20842.490519037172,16942.792953990716,19209.268611936688,237487.67059114596,237487.67059114596
2005-02-10,24510.481679699482,19418.786357974528,19329.56279473986,22616.82293345893,20122.509502423327,20861.180467056587,17565.562398899194,16981.489689443693,18943.964897188984,20872.460125703874,16762.406448352023,19221.70589187401,237206.9331868145,237206.9331868145
2005-02-11,25401.939513699093,19351.719977448356,19269.92543492981,23275.512447608107,20444.103384084967,21455.942645081708,17921.822296632832,16981.489689443693,19073.274761864577,21212.119903075232,17165.91113712664,19333.60700666277,240887.36819765778,240887.36819765778
2005-02-14,26471.68642327955,19381.518737895356,19844.727185740816,22785.89870713815,20382.857829731027,21580.220002183323,18050.470655520174,17100.141116181356,19364.218351063213,21135.530202402206,17645.381470233362,19389.553654438158,243132.2043358067,243132.2043358067
2005-02-15,27654.046399951774,19381.518737895356,20075.062561236828,22990.653539618826,20352.21757852438,21722.260232588415,17496.290060457573,17152.348784976217,19310.341511428553,21615.05153233717,17507.70768458559,19547.02997974035,244804.52860334105,244804.52860334105
